X: 27.39676284790039, Y: -57.81392288208008
X: 29.61846923828125, Y: -57.81229782104492
X: 31.022708892822266, Y: -57.81122589111328
X: 32.34519577026367, Y: -57.81022644042969
X: 34.170654296875, Y: -57.757781982421875
X: 35.28307342529297, Y: -57.71399688720703
X: 36.817352294921875, Y: -57.65819549560547
X: 37.79773712158203, Y: -57.62260055541992
X: 38.732486724853516, Y: -57.58864974975586
X: 40.045005798339844, Y: -57.54111099243164
X: 40.8657341003418, Y: -57.511390686035156
X: 41.64466857910156, Y: -57.48314666748047
X: 42.74662399291992, Y: -57.443031311035156
X: 43.44447326660156, Y: -57.4175910949707
X: 44.106407165527344, Y: -57.39358901977539
X: 44.728538513183594, Y: -57.37105941772461
X: 45.32086181640625, Y: -57.348079681396484
X: 45.8892707824707, Y: -57.324954986572266
X: 46.68364715576172, Y: -57.29161071777344
X: 46.9313850402832, Y: -57.29042053222656
X: 47.182411193847656, Y: -57.294193267822266
X: 47.45661926269531, Y: -57.29838562011719
X: 47.76628875732422, Y: -57.302650451660156
X: 48.11671829223633, Y: -57.30696105957031
X: 48.50843811035156, Y: -57.311279296875
X: 48.93479919433594, Y: -57.31556701660156
X: 49.38591766357422, Y: -57.31978988647461
X: 49.852474212646484, Y: -57.32392501831055
X: 50.327537536621094, Y: -57.32796096801758
X: 50.8066291809082, Y: -57.33192443847656
X: 51.28721618652344, Y: -57.33583068847656
X: 51.76799774169922, Y: -57.33967971801758
X: 52.24842834472656, Y: -57.343509674072266
X: 52.72837448120117, Y: -57.34730911254883
X: 53.20787811279297, Y: -57.35110092163086
X: 53.68704605102539, Y: -57.35490417480469
X: 54.16598129272461, Y: -57.35871124267578
X: 54.64476776123047, Y: -57.362464904785156
X: 55.123470306396484, Y: -57.36622619628906
X: 55.60213088989258, Y: -57.3699836730957
X: 56.08079528808594, Y: -57.37373733520508
X: 56.55941390991211, Y: -57.377498626708984
X: 57.03804016113281, Y: -57.38125991821289
X: 57.51670455932617, Y: -57.38506317138672
X: 57.995365142822266, Y: -57.38883590698242
X: 58.47402572631836, Y: -57.39259719848633
X: 58.95258331298828, Y: -57.39387512207031
X: 59.430843353271484, Y: -57.39384078979492
X: 59.90877151489258, Y: -57.39371871948242
X: 60.38652801513672, Y: -57.392826080322266
