epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,301.931,1.08154,0.7371,0.81624,0.91183,0.9834,0.99094,0.56829,1.10111,0.72904,0.81549,0.000566027,0.000566027,0.000566027
63,306.523,1.03413,0.70895,0.82755,0.94516,0.99662,0.99094,0.59553,1.09919,0.62936,0.81328,0.00055188,0.00055188,0.00055188
64,311.163,1.01043,0.69498,0.82906,0.94418,1,0.99094,0.60276,1.09859,0.68363,0.81377,0.000537733,0.000537733,0.000537733
65,316.011,1.0465,0.69729,0.8244,0.92646,1,0.99094,0.63804,1.02586,0.64418,0.81217,0.000523586,0.000523586,0.000523586
66,320.81,0.94838,0.69298,0.768,0.93803,1,0.99094,0.62565,0.99885,0.64107,0.80784,0.000509438,0.000509438,0.000509438
67,326.004,0.99973,0.65519,0.82954,0.95172,1,0.99313,0.63876,1.11571,0.59838,0.8124,0.000495291,0.000495291,0.000495291
68,331.118,1.02514,0.69963,0.81344,0.94262,1,0.99094,0.63799,1.09543,0.62395,0.80812,0.000481144,0.000481144,0.000481144
69,335.82,0.95827,0.66974,0.80583,0.94616,0.96867,0.99094,0.61488,1.0945,0.65726,0.81206,0.000466997,0.000466997,0.000466997
70,340.689,0.98693,0.69041,0.82459,0.9596,0.99222,0.99094,0.65143,1.08589,0.62845,0.81325,0.00045285,0.00045285,0.00045285
71,345.729,0.97882,0.75275,0.82796,0.95029,1,0.99094,0.65346,1.02738,0.57938,0.80479,0.000438703,0.000438703,0.000438703
72,350.859,0.94249,0.70784,0.82087,0.94767,0.94424,0.99313,0.63165,1.09148,0.55616,0.80616,0.000424556,0.000424556,0.000424556
73,355.704,0.98915,0.69094,0.82007,0.94466,1,0.99094,0.63657,1.09356,0.55387,0.80747,0.000410409,0.000410409,0.000410409
74,360.572,1.03721,0.67479,0.81502,0.95541,1,0.99094,0.67201,0.97113,0.51019,0.81608,0.000396262,0.000396262,0.000396262
75,365.864,0.99902,0.65978,0.8323,0.95484,1,0.99094,0.61178,1.07535,0.5198,0.81794,0.000382115,0.000382115,0.000382115
76,370.714,0.9835,0.64801,0.81513,0.88937,1,0.96675,0.56791,1.17911,0.55427,0.82244,0.000367967,0.000367967,0.000367967
77,375.602,0.94032,0.65295,0.7647,0.94215,1,0.98875,0.60189,1.03885,0.53246,0.81942,0.00035382,0.00035382,0.00035382
78,380.513,0.995,0.63861,0.82446,0.94937,1,0.99094,0.62525,0.97476,0.55531,0.81306,0.000339673,0.000339673,0.000339673
79,385.401,0.98331,0.67867,0.81226,0.9597,0.95053,0.99094,0.6037,1.05368,0.54885,0.81415,0.000325526,0.000325526,0.000325526
