X: -42.02047920227051, Y: -13.136478424072266
X: -42.01918688687411, Y: -13.239315726540305
X: -42.01789457147772, Y: -13.342153029008346
X: -42.01660225608132, Y: -13.444990331476385
X: -42.01530994068492, Y: -13.547827633944424
X: -42.01401762528853, Y: -13.650664936412465
X: -42.01272530989213, Y: -13.753502238880504
X: -42.01143299449574, Y: -13.856339541348545
X: -42.010140679099344, Y: -13.959176843816584
X: -42.008848363702946, Y: -14.062014146284623
X: -42.007556048306554, Y: -14.164851448752664
X: -42.006263732910156, Y: -14.267688751220703
X: -42.006263732910156, Y: -14.267688751220703
X: -42.003633416217305, Y: -14.368614860202955
X: -42.00100309952445, Y: -14.469540969185207
X: -41.99837278283161, Y: -14.570467078167459
X: -41.99574246613876, Y: -14.671393187149711
X: -41.993112149445906, Y: -14.772319296131963
X: -41.990481832753055, Y: -14.873245405114215
X: -41.98785151606021, Y: -14.974171514096467
X: -41.98522119936736, Y: -15.075097623078719
X: -41.98259088267451, Y: -15.17602373206097
X: -41.979960565981656, Y: -15.276949841043223
X: -41.977330249288805, Y: -15.377875950025476
X: -41.97469993259596, Y: -15.478802059007727
X: -41.97206961590311, Y: -15.57972816798998
X: -41.96943929921026, Y: -15.680654276972232
X: -41.966808982517406, Y: -15.781580385954484
X: -41.964178665824555, Y: -15.882506494936736
X: -41.96154834913171, Y: -15.983432603918988
X: -41.95891803243886, Y: -16.08435871290124
X: -41.95628771574601, Y: -16.185284821883492
X: -41.95365739905316, Y: -16.286210930865742
X: -41.95102708236031, Y: -16.387137039847996
X: -41.94839676566746, Y: -16.48806314883025
X: -41.94576644897461, Y: -16.5889892578125
X: -41.94576644897461, Y: -16.5889892578125
X: -41.943014526367186, Y: -16.693855412801106
X: -41.94026260375976, Y: -16.798721567789713
X: -41.93751068115235, Y: -16.90358772277832
X: -41.93475875854492, Y: -17.00845387776693
X: -41.9320068359375, Y: -17.113320032755535
X: -41.92925491333008, Y: -17.21818618774414
X: -41.92650299072265, Y: -17.323052342732748
X: -41.92375106811524, Y: -17.427918497721354
X: -41.920999145507814, Y: -17.53278465270996
X: -41.91824722290039, Y: -17.637650807698567
X: -41.91549530029297, Y: -17.742516962687173
X: -41.912743377685544, Y: -17.847383117675783
X: -41.90999145507813, Y: -17.95224927266439
X: -41.907239532470705, Y: -18.057115427652995
X: -41.90448760986328, Y: -18.1619815826416
X: -41.90448760986328, Y: -18.1619815826416
X: -41.901702626546225, Y: -18.26755294799805
X: -41.89891764322917, Y: -18.37312431335449
X: -41.89613265991211, Y: -18.478695678710938
X: -41.89334767659505, Y: -18.58426704406738
X: -41.89056269327799, Y: -18.689838409423828
X: -41.887777709960936, Y: -18.795409774780275
X: -41.88499272664388, Y: -18.900981140136718
X: -41.88220774332682, Y: -19.006552505493165
X: -41.87942276000977, Y: -19.112123870849608
X: -41.87663777669271, Y: -19.217695236206055
