X: -41.81566467285156, Y: -19.19764099121094
X: -41.81503677368164, Y: -19.29804229736328
X: -41.81440887451172, Y: -19.398443603515624
X: -41.8137809753418, Y: -19.49884490966797
X: -41.81315307617187, Y: -19.599246215820312
X: -41.81252517700195, Y: -19.699647521972658
X: -41.81189727783203, Y: -19.800048828125
X: -41.81189727783203, Y: -19.800048828125
X: -41.81121699015299, Y: -19.91101794772678
X: -41.81053670247396, Y: -20.02198706732856
X: -41.80985641479492, Y: -20.13295618693034
X: -41.80917612711588, Y: -20.24392530653212
X: -41.80849583943685, Y: -20.354894426133896
X: -41.80781555175781, Y: -20.465863545735676
X: -41.807135264078774, Y: -20.576832665337456
X: -41.80645497639974, Y: -20.687801784939236
X: -41.8057746887207, Y: -20.798770904541016
X: -41.8057746887207, Y: -20.798770904541016
X: -41.80511965070452, Y: -20.90533106667655
X: -41.804464612688335, Y: -21.011891228812082
X: -41.80380957467215, Y: -21.118451390947616
X: -41.803154536655974, Y: -21.225011553083146
X: -41.80249949863979, Y: -21.33157171521868
X: -41.801844460623606, Y: -21.438131877354213
X: -41.80118942260742, Y: -21.544692039489746
X: -41.80053438459124, Y: -21.65125220162528
X: -41.799879346575054, Y: -21.757812363760813
X: -41.79922430855887, Y: -21.864372525896346
X: -41.79856927054269, Y: -21.970932688031876
X: -41.79791423252651, Y: -22.07749285016741
X: -41.797259194510325, Y: -22.184053012302943
X: -41.79660415649414, Y: -22.290613174438477
X: -41.79660415649414, Y: -22.290613174438477
X: -41.79593140738351, Y: -22.397714614868164
X: -41.79525865827288, Y: -22.50481605529785
X: -41.79458590916225, Y: -22.61191749572754
X: -41.793913160051616, Y: -22.719018936157227
X: -41.79324041094099, Y: -22.826120376586914
X: -41.792567661830354, Y: -22.9332218170166
X: -41.79189491271973, Y: -23.04032325744629
X: -41.7912221636091, Y: -23.147424697875977
X: -41.790549414498464, Y: -23.254526138305664
X: -41.78987666538784, Y: -23.36162757873535
X: -41.7892039162772, Y: -23.46872901916504
X: -41.788531167166575, Y: -23.575830459594727
X: -41.78785841805594, Y: -23.682931900024414
X: -41.78718566894531, Y: -23.7900333404541
X: -41.78718566894531, Y: -23.7900333404541
X: -41.78642061021593, Y: -23.901073455810547
X: -41.78565555148654, Y: -24.012113571166992
X: -41.784890492757164, Y: -24.123153686523438
X: -41.78412543402778, Y: -24.234193801879883
X: -41.78336037529839, Y: -24.345233917236328
X: -41.78259531656901, Y: -24.456274032592773
X: -41.78183025783963, Y: -24.56731414794922
X: -41.781065199110245, Y: -24.678354263305664
X: -41.78030014038086, Y: -24.78939437866211
X: -41.78030014038086, Y: -24.78939437866211
X: -41.779500416346956, Y: -24.89624786376953
X: -41.77870069231306, Y: -25.003101348876953
X: -41.777900968279155, Y: -25.109954833984375
X: -41.77710124424526, Y: -25.216808319091797
X: -41.776301520211355, Y: -25.32366180419922
X: -41.77550179617746, Y: -25.43051528930664
X: -41.774702072143555, Y: -25.537368774414062
X: -41.77390234810965, Y: -25.644222259521484
X: -41.773102624075754, Y: -25.751075744628906
X: -41.77230290004185, Y: -25.857929229736328
X: -41.771503176007954, Y: -25.96478271484375
X: -41.77070345197405, Y: -26.071636199951172
X: -41.769903727940154, Y: -26.178489685058594
X: -41.76910400390625, Y: -26.285343170166016
X: -41.76910400390625, Y: -26.285343170166016
X: -41.76837043762207, Y: -26.38536548614502
X: -41.76763687133789, Y: -26.485387802124023
X: -41.76690330505371, Y: -26.585410118103027
X: -41.766169738769534, Y: -26.68543243408203
X: -41.76543617248535, Y: -26.785454750061035
X: -41.76470260620117, Y: -26.88547706604004
X: -41.763969039916994, Y: -26.985499382019043
X: -41.76323547363281, Y: -27.085521697998047
X: -41.762501907348636, Y: -27.18554401397705
X: -41.76176834106445, Y: -27.285566329956055
X: -41.76176834106445, Y: -27.285566329956055
X: -41.761035101754324, Y: -27.39211368560791
X: -41.760301862444194, Y: -27.498661041259766
X: -41.759568623134065, Y: -27.60520839691162
X: -41.75883538382394, Y: -27.711755752563477
X: -41.75810214451381, Y: -27.818303108215332
X: -41.757368905203684, Y: -27.924850463867188
X: -41.756635665893555, Y: -28.031397819519043
X: -41.755902426583425, Y: -28.1379451751709
X: -41.755169187273296, Y: -28.244492530822754
X: -41.75443594796317, Y: -28.35103988647461
X: -41.753702708653044, Y: -28.457587242126465
X: -41.752969469342915, Y: -28.56413459777832
X: -41.752236230032786, Y: -28.670681953430176
X: -41.751502990722656, Y: -28.77722930908203
X: -41.751502990722656, Y: -28.77722930908203
X: -41.750750647650825, Y: -28.886362499660915
X: -41.749998304578995, Y: -28.9954956902398
X: -41.749245961507164, Y: -29.104628880818684
X: -41.74849361843533, Y: -29.213762071397568
X: -41.747741275363495, Y: -29.322895261976456
X: -41.746988932291664, Y: -29.43202845255534
X: -41.74623658921983, Y: -29.541161643134224
X: -41.745484246148, Y: -29.650294833713108
X: -41.74473190307617, Y: -29.759428024291992
X: -41.74473190307617, Y: -29.759428024291992
X: -41.74395397731236, Y: -29.863598823547363
X: -41.74317605154855, Y: -29.967769622802734
X: -41.74239812578474, Y: -30.071940422058105
X: -41.741620200020925, Y: -30.176111221313477
X: -41.74084227425711, Y: -30.280282020568848
X: -41.740064348493306, Y: -30.38445281982422
X: -41.73928642272949, Y: -30.48862361907959
X: -41.73850849696568, Y: -30.59279441833496
X: -41.73773057120187, Y: -30.696965217590332
X: -41.73695264543806, Y: -30.801136016845703
X: -41.736174719674246, Y: -30.905306816101074
X: -41.73539679391043, Y: -31.009477615356445
X: -41.734618868146626, Y: -31.113648414611816
X: -41.73384094238281, Y: -31.217819213867188
X: -41.73384094238281, Y: -31.217819213867188
X: -41.733040128435405, Y: -31.319801603044784
X: -41.732239314488005, Y: -31.421783992222377
X: -41.7314385005406, Y: -31.523766381399973
X: -41.73063768659319, Y: -31.625748770577566
X: -41.729836872645784, Y: -31.727731159755162
X: -41.729036058698384, Y: -31.829713548932755
X: -41.72823524475098, Y: -31.93169593811035
X: -41.72743443080357, Y: -32.033678327287944
X: -41.72663361685617, Y: -32.135660716465544
X: -41.72583280290876, Y: -32.23764310564314
X: -41.725031988961355, Y: -32.33962549482073
X: -41.72423117501395, Y: -32.44160788399832
X: -41.72343036106655, Y: -32.54359027317592
X: -41.72262954711914, Y: -32.645572662353516
X: -41.72262954711914, Y: -32.645572662353516
X: -41.721828036838104, Y: -32.748680962456596
X: -41.721026526557075, Y: -32.85178926255968
X: -41.72022501627604, Y: -32.95489756266276
X: -41.71942350599501, Y: -33.05800586276584
X: -41.718621995713974, Y: -33.16111416286893
X: -41.717820485432945, Y: -33.26422246297201
X: -41.71701897515191, Y: -33.36733076307509
X: -41.71621746487088, Y: -33.47043906317817
X: -41.715415954589844, Y: -33.57354736328125
X: -41.715415954589844, Y: -33.57354736328125
X: -41.71465937296549, Y: -33.67487335205078
X: -41.71390279134115, Y: -33.77619934082031
X: -41.7131462097168, Y: -33.877525329589844
X: -41.712389628092446, Y: -33.978851318359375
X: -41.7116330464681, Y: -34.080177307128906
X: -41.71087646484375, Y: -34.18150329589844
X: -41.7101198832194, Y: -34.28282928466797
X: -41.709363301595054, Y: -34.3841552734375
X: -41.7086067199707, Y: -34.48548126220703
X: -41.7086067199707, Y: -34.48548126220703
X: -41.707783222198486, Y: -34.59777879714966
X: -41.70695972442627, Y: -34.710076332092285
X: -41.70613622665405, Y: -34.82237386703491
X: -41.705312728881836, Y: -34.93467140197754
X: -41.70448923110962, Y: -35.046968936920166
X: -41.7036657333374, Y: -35.15926647186279
X: -41.702842235565186, Y: -35.27156400680542
X: -41.70201873779297, Y: -35.38386154174805
X: -41.70201873779297, Y: -35.38386154174805
X: -41.70120429992676, Y: -35.49382400512695
X: -41.70038986206055, Y: -35.60378646850586
X: -41.699575424194336, Y: -35.713748931884766
X: -41.698760986328125, Y: -35.82371139526367
X: -41.697946548461914, Y: -35.93367385864258
X: -41.6971321105957, Y: -36.043636322021484
X: -41.69631767272949, Y: -36.15359878540039
X: -41.69550323486328, Y: -36.2635612487793
X: -41.69550323486328, Y: -36.2635612487793
X: -41.69471263885498, Y: -36.370410442352295
X: -41.69392204284668, Y: -36.47725963592529
X: -41.69313144683838, Y: -36.58410882949829
X: -41.69234085083008, Y: -36.69095802307129
X: -41.69155025482178, Y: -36.79780721664429
X: -41.69075965881348, Y: -36.904656410217285
X: -41.689969062805176, Y: -37.01150560379028
X: -41.689178466796875, Y: -37.11835479736328
X: -41.689178466796875, Y: -37.11835479736328
X: -41.68835131327311, Y: -37.222771962483726
X: -41.68752415974935, Y: -37.327189127604164
X: -41.686697006225586, Y: -37.43160629272461
X: -41.68586985270182, Y: -37.536023457845054
X: -41.68504269917806, Y: -37.64044062296549
X: -41.6842155456543, Y: -37.74485778808594
X: -41.68338839213053, Y: -37.84927495320638
X: -41.68256123860677, Y: -37.95369211832682
X: -41.68173408508301, Y: -38.058109283447266
X: -41.68090693155924, Y: -38.16252644856771
X: -41.680079778035484, Y: -38.26694361368815
X: -41.67925262451172, Y: -38.371360778808594
X: -41.67925262451172, Y: -38.371360778808594
X: -41.67770576477051, Y: -38.47544240951538
X: -41.6761589050293, Y: -38.57952404022217
X: -41.674612045288086, Y: -38.683605670928955
X: -41.673065185546875, Y: -38.78768730163574
X: -41.671518325805664, Y: -38.89176893234253
X: -41.66997146606445, Y: -38.995850563049316
X: -41.66842460632324, Y: -39.0999321937561
X: -41.66687774658203, Y: -39.20401382446289
X: -41.66687774658203, Y: -39.20401382446289
X: -41.66388940811157, Y: -39.308061599731445
X: -41.66090106964111, Y: -39.412109375
X: -41.657912731170654, Y: -39.516157150268555
X: -41.654924392700195, Y: -39.62020492553711
X: -41.651936054229736, Y: -39.724252700805664
X: -41.64894771575928, Y: -39.82830047607422
X: -41.64595937728882, Y: -39.93234825134277
X: -41.64297103881836, Y: -40.03639602661133
X: -41.64297103881836, Y: -40.03639602661133
X: -41.63904062906901, Y: -40.14046096801758
X: -41.635110219319664, Y: -40.24452590942383
X: -41.63117980957031, Y: -40.34859085083008
X: -41.62724939982096, Y: -40.45265579223633
X: -41.62331899007162, Y: -40.55672073364258
X: -41.619388580322266, Y: -40.66078567504883
X: -41.615458170572914, Y: -40.76485061645508
X: -41.61152776082357, Y: -40.86891555786133
X: -41.60759735107422, Y: -40.97298049926758
X: -41.60366694132487, Y: -41.07704544067383
X: -41.59973653157552, Y: -41.18111038208008
X: -41.59580612182617, Y: -41.28517532348633
X: -41.59580612182617, Y: -41.28517532348633
X: -41.59233601888021, Y: -41.38715489705404
X: -41.58886591593424, Y: -41.48913447062174
X: -41.58539581298828, Y: -41.59111404418945
X: -41.58192571004232, Y: -41.693093617757164
X: -41.57845560709635, Y: -41.79507319132487
X: -41.57498550415039, Y: -41.89705276489258
X: -41.57151540120443, Y: -41.99903233846029
X: -41.56804529825846, Y: -42.10101191202799
X: -41.5645751953125, Y: -42.2029914855957
X: -41.56110509236654, Y: -42.304971059163414
X: -41.55763498942057, Y: -42.40695063273112
X: -41.55416488647461, Y: -42.50893020629883
X: -41.55416488647461, Y: -42.50893020629883
X: -41.550962621515446, Y: -42.615231947465375
X: -41.54776035655629, Y: -42.72153368863192
X: -41.544558091597125, Y: -42.827835429798476
X: -41.54135582663796, Y: -42.93413717096502
X: -41.5381535616788, Y: -43.04043891213157
X: -41.53495129671964, Y: -43.14674065329812
X: -41.53174903176048, Y: -43.253042394464664
X: -41.52854676680131, Y: -43.35934413563121
X: -41.52534450184215, Y: -43.465645876797765
X: -41.52214223688299, Y: -43.57194761796431
X: -41.51893997192383, Y: -43.67824935913086
X: -41.51893997192383, Y: -43.67824935913086
X: -41.512223379952566, Y: -43.7884897504534
X: -41.505506787981304, Y: -43.89873014177595
X: -41.49879019601004, Y: -44.00897053309849
X: -41.49207360403879, Y: -44.11921092442104
X: -41.485357012067524, Y: -44.22945131574358
X: -41.47864042009626, Y: -44.33969170706613
X: -41.471923828125, Y: -44.44993209838867
X: -41.471923828125, Y: -44.44993209838867
X: -41.45747266496931, Y: -44.55927603585379
X: -41.44302150181362, Y: -44.66861997331892
X: -41.42857033865793, Y: -44.77796391078404
X: -41.41411917550223, Y: -44.887307848249165
X: -41.39966801234654, Y: -44.996651785714285
X: -41.38521684919085, Y: -45.10599572317941
X: -41.370765686035156, Y: -45.21533966064453
X: -41.370765686035156, Y: -45.21533966064453
X: -41.34749126434326, Y: -45.317070643107094
X: -41.32421684265137, Y: -45.418801625569664
X: -41.30094242095947, Y: -45.52053260803223
X: -41.27766799926758, Y: -45.62226359049479
X: -41.254393577575684, Y: -45.72399457295736
X: -41.23111915588379, Y: -45.82572555541992
X: -41.207844734191895, Y: -45.927456537882485
X: -41.1845703125, Y: -46.029187520345054
X: -41.161295890808105, Y: -46.13091850280762
